step	pg1
0	0.0021000000000000003
1	0.00425743
2	0.0063713
3	0.00844161
4	0.009604
5	0.009505
6	0.009406
7	0.009307
8	0.009208000000000001
9	0.009109
10	0.00901
11	0.008911
12	0.008812
13	0.008713
14	0.008614
15	0.008515
16	0.008416
17	0.008317
18	0.008218000000000001
19	0.008119000000000001
20	0.008020000000000001
21	0.007921000000000001
22	0.007822
23	0.007723
24	0.007624
25	0.007525
26	0.007426
27	0.007327
28	0.007228
29	0.007129
30	0.00703
31	0.006931
32	0.0068319999999999995
33	0.006732999999999999
34	0.006633999999999999
35	0.006535
36	0.006436000000000001
37	0.006337000000000001
38	0.0062380000000000005
39	0.006139
40	0.00604
41	0.005941000000000001
42	0.005842000000000001
43	0.005743000000000001
44	0.005644000000000001
45	0.0055450000000000004
46	0.005446000000000001
47	0.005347000000000001
48	0.005248000000000001
49	0.005149
50	0.00505
51	0.004951
52	0.0048519999999999995
53	0.004753
54	0.004654
55	0.004555
56	0.004456
57	0.004357000000000001
58	0.0042580000000000005
59	0.004159
60	0.00406
61	0.003961
62	0.003862
63	0.0037630000000000003
64	0.003664
65	0.003565
66	0.003466
67	0.0033669999999999993
68	0.003268
69	0.003169000000000001
70	0.0030700000000000007
71	0.0029710000000000006
72	0.002872
73	0.0027730000000000007
74	0.002674
75	0.002575
76	0.002476
77	0.002377
78	0.0022779999999999996
79	0.002179
80	0.00208
81	0.0019809999999999993
82	0.0018820000000000006
83	0.0017830000000000005
84	0.0016840000000000006
85	0.0015850000000000003
86	0.0014860000000000001
87	0.0013870000000000002
88	0.001288
89	0.0011889999999999997
90	0.0010899999999999998
91	0.0009909999999999997
92	0.0008919999999999996
93	0.0007929999999999994
94	0.0006940000000000005
95	0.0005950000000000005
96	0.0004960000000000005
97	0.00039700000000000027
98	0.0002980000000000002
99	0.0001990000000000001
