step	box_loss
0	3.1374
1	2.72155
2	2.45576
3	2.35639
4	2.21612
5	2.22862
6	2.25775
7	2.20315
8	2.13416
9	2.11962
10	2.09007
11	2.03225
12	2.04901
13	2.0735
14	2.02019
15	2.08185
16	1.99074
17	1.94666
18	2.03811
19	1.95833
20	1.93142
21	1.95509
22	1.93077
23	1.92592
24	1.90539
25	1.97155
26	1.9176
27	1.8537
28	1.87793
29	1.91154
30	1.83791
31	1.86746
32	1.83531
33	1.85618
34	1.83323
35	1.84366
36	1.87554
37	1.83967
38	1.83328
39	1.78536
40	1.82713
41	1.82132
42	1.81235
43	1.83104
44	1.77032
45	1.77204
46	1.76062
47	1.77287
48	1.76174
49	1.73277
50	1.69832
51	1.75267
52	1.77609
53	1.76064
54	1.73831
55	1.74234
56	1.73243
57	1.70622
58	1.79463
59	1.70819
60	1.69124
61	1.75504
62	1.72533
63	1.69317
64	1.70763
65	1.73939
66	1.67459
67	1.67087
68	1.68838
69	1.66328
70	1.66669
71	1.65221
72	1.694
73	1.61963
74	1.6632
75	1.65118
76	1.62458
77	1.62243
78	1.68873
79	1.66791
80	1.67451
81	1.65735
82	1.64379
83	1.60557
84	1.66269
85	1.60929
86	1.62032
87	1.63083
88	1.61423
89	1.64972
90	1.60835
91	1.62607
92	1.57352
93	1.59888
94	1.54848
95	1.5529
96	1.52476
97	1.52819
98	1.51009
99	1.52536
